truth_mode,target,horizon,model,baseline,regime,n_common,baseline_n,failure_count,success_share_vs_baseline,rmse,baseline_rmse,rmse_rel,crps,baseline_crps,crps_rel,combined_rel,coverage80,coverage90,width80,width90,pit_mean,pit_var,pit_ks_p,runtime_s
first_release,CPIAUCSL,1,arima,naive_last,all,237,237,0,1.0,0.4326425777051088,0.47866871561638535,0.9038455273768866,0.23443217011217474,0.2527716053921676,0.9274466162782019,0.9132859629374127,0.8565400843881856,0.9113924050632911,1.1528397614848547,1.4796538149180236,0.5200269388390767,0.06861977554562179,0.04924238934229086,262.18349579600033
first_release,CPIAUCSL,1,autoreg,naive_last,all,237,237,0,1.0,0.43913967177537083,0.47866871561638535,0.9174187855788473,0.23943511328883743,0.2527716053921676,0.9472389626887127,0.9293468564227934,0.8143459915611815,0.8945147679324894,1.1141522223895206,1.429998896060549,0.5219744333588989,0.07492067429802471,0.12666628165281113,2.5257850190023445
first_release,CPIAUCSL,1,bvar_niw,naive_last,all,237,237,0,1.0,0.4570173399601968,0.47866871561638535,0.9547675146717957,0.24548399226963816,0.2527716053921676,0.9711691781550269,0.9613281800650881,0.8565400843881856,0.9240506329113924,1.2306531648092958,1.5795262368515526,0.5119509562022658,0.06630438599421892,0.060708819475991826,18.673089449000038
first_release,CPIAUCSL,1,dynamic_factor,naive_last,all,237,237,0,1.0,0.47947117288959284,0.47866871561638535,1.0016764355952825,0.25432138161966467,0.2527716053921676,1.0061311325894087,1.003458314392933,0.8734177215189873,0.9071729957805907,1.2843025902533878,1.6483845289391417,0.5111909405354367,0.06373011854448302,0.020754069447644304,1544.844016895
first_release,CPIAUCSL,1,elastic_net,naive_last,all,237,237,0,1.0,0.6687081766297881,0.47866871561638535,1.3970166731466616,0.3626370924991762,0.2527716053921676,1.4346433094672781,1.412067327674908,0.8143459915611815,0.8945147679324894,1.6195233211472682,2.078635679079798,0.47862827621794685,0.07956725973142947,0.4010605933676241,7.7370970599993605
first_release,CPIAUCSL,1,hist_gradient_boosting,naive_last,all,237,237,0,1.0,0.8889445637802014,0.47866871561638535,1.8571185765409812,0.49537880372086807,0.2527716053921676,1.9597881769683057,1.898186416711911,0.6582278481012658,0.7679324894514767,1.4656982187679077,1.8812032976076163,0.4725143482293793,0.10699082025052126,0.03350026636197512,74.66784815199925
first_release,CPIAUCSL,1,mean,naive_last,all,237,237,0,1.0,1.9398210966085654,0.47866871561638535,4.052533690468246,1.0353644031396305,0.2527716053921676,4.096047107558991,4.069939057304543,0.729957805907173,0.8016877637130801,3.6893698468185465,4.735254933831761,0.4654614738815132,0.0911601607724912,0.00560080017856407,0.05803733899820689
first_release,CPIAUCSL,1,naive_drift,naive_last,all,237,237,0,1.0,0.4795793176193068,0.47866871561638535,1.0019023637292628,0.2532867239799844,0.2527716053921676,1.0020378815374362,1.0019565708525322,0.8734177215189873,0.9113924050632911,1.2561975939120265,1.612312156659762,0.5091942067103621,0.06564740674888833,0.08180854942559923,0.06507427600108612
first_release,CPIAUCSL,1,naive_last,naive_last,all,237,237,0,1.0,0.47866871561638535,0.47866871561638535,1.0,0.2527716053921676,0.2527716053921676,1.0,1.0,0.8776371308016878,0.9156118143459916,1.2546623924611922,1.6103417469295602,0.5020974375441459,0.06563494704408362,0.03822367994929232,0.0658035599982605
first_release,CPIAUCSL,1,random_forest,naive_last,all,237,237,0,1.0,0.8734437788767191,0.47866871561638535,1.8247354597886742,0.47869146227735143,0.2527716053921676,1.8937707086785953,1.8523495593446426,0.7046413502109705,0.7848101265822784,1.6850436131955748,2.162730063505741,0.5014625469146963,0.09379767408658457,0.17093834013119313,187.68725787899922
first_release,CPIAUCSL,1,ridge,naive_last,all,237,237,0,1.0,0.6406929085821887,0.47866871561638535,1.33848920491318,0.34548040536179087,0.2527716053921676,1.366769043642336,1.3498011404048424,0.810126582278481,0.9029535864978903,1.544905360636694,1.9828645635965263,0.46871463718341827,0.07723966594914793,0.1603265091556494,6.607562835000142
first_release,CPIAUCSL,1,seasonal_naive,naive_last,all,237,237,0,1.0,2.338803958063398,0.47866871561638535,4.886059777380066,1.2884042745457216,0.2527716053921676,5.0971084056170035,4.97047922867484,0.7721518987341772,0.8227848101265823,5.111522823633018,6.560568518462316,0.49984265980719583,0.08865980058897839,0.345161485998001,0.0613618939991501
first_release,CPIAUCSL,1,state_space,naive_last,all,237,237,0,1.0,0.48680973065379657,0.47866871561638535,1.0170076187806174,0.26061398402265584,0.2527716053921676,1.0310255521711824,1.0226147921368436,0.8818565400843882,0.9409282700421941,1.395776872577658,1.7914602213440505,0.5149218729162701,0.05991064023843205,0.004381441897646684,54.53802562999921
first_release,CPIAUCSL,1,var,naive_last,all,237,237,0,1.0,0.4574747661059231,0.47866871561638535,0.9557231362338551,0.24738462401650768,0.2527716053921676,0.9786883444946193,0.9649092195381608,0.8185654008438819,0.8776371308016878,1.1327797222779636,1.4539070333343875,0.5134350223934944,0.07469916377156383,0.34616476676473684,1.1544416439996064
first_release,CPIAUCSL,1,arima,naive_last,expansion,217,217,0,1.0,0.4083955077106182,0.44225390532740644,0.9234412693501883,0.22398260070125312,0.2384741794882058,0.93923208450469,0.929757595411989,0.8755760368663594,0.9216589861751152,1.146132820818484,1.4710455497670698,0.5312380271450731,0.06574568000523474,0.02086374265785139,242.63657879700042
first_release,CPIAUCSL,1,autoreg,naive_last,expansion,217,217,0,1.0,0.41132333024534895,0.44225390532740644,0.9300614992666731,0.2275405531943525,0.2384741794882058,0.9541517395412864,0.9396975953765185,0.8294930875576036,0.9124423963133641,1.112755678277868,1.428206451098513,0.5366682571657967,0.07123391241989314,0.02871876202900514,2.348678817002483
first_release,CPIAUCSL,1,bvar_niw,naive_last,expansion,217,217,0,1.0,0.42719555566933737,0.44225390532740644,0.9659508950024508,0.23308458244487826,0.2384741794882058,0.9773996620728741,0.9705304018306201,0.880184331797235,0.9308755760368663,1.2263573516778186,1.5740126203885165,0.5243164240844166,0.06284561642010902,0.018668281290307627,17.106100075000207
first_release,CPIAUCSL,1,dynamic_factor,naive_last,expansion,217,217,0,1.0,0.44414280643508963,0.44225390532740644,1.0042710784120377,0.24040723919362147,0.2384741794882058,1.0081059497072775,1.0058050269301337,0.8847926267281107,0.9170506912442397,1.279816362599086,1.64262651808191,0.5250945314455894,0.060451683243690955,0.006335319092919747,1439.8660847689998
first_release,CPIAUCSL,1,elastic_net,naive_last,expansion,217,217,0,1.0,0.6105400191517237,0.44225390532740644,1.3805192261665453,0.3404941397753304,0.2384741794882058,1.4278029617549022,1.3994327204018882,0.8202764976958525,0.9078341013824884,1.6310910506690757,2.093482699185035,0.4955328522695113,0.07659238602337481,0.6917967956429709,7.259453063999349
first_release,CPIAUCSL,1,hist_gradient_boosting,naive_last,expansion,217,217,0,1.0,0.8619426554845797,0.44225390532740644,1.9489769227622131,0.4750813794801794,0.2384741794882058,1.9921711461583014,1.9662546121206483,0.6866359447004609,0.7926267281105991,1.4727490470621958,1.8902529377506128,0.4849166536432027,0.1021298722869083,0.02130141112915434,69.99059356999935
first_release,CPIAUCSL,1,mean,naive_last,expansion,217,217,0,1.0,1.8948109266119315,0.44225390532740644,4.284441366796248,0.9822283854999709,0.2384741794882058,4.1188039208603255,4.218186388421879,0.7788018433179723,0.8387096774193549,3.764669663836876,4.831901202668197,0.4636495110878063,0.08109510788036578,0.0010830711212660423,0.0531774499981061
first_release,CPIAUCSL,1,naive_drift,naive_last,expansion,217,217,0,1.0,0.4442215948904284,0.44225390532740644,1.0044492304970496,0.23940264335662956,0.2384741794882058,1.0038933517683817,1.0042268790055826,0.8847926267281107,0.9216589861751152,1.2520285974438021,1.606961307621868,0.5225476873981549,0.06257396849186862,0.036665556551743195,0.0595852010011582
first_release,CPIAUCSL,1,naive_last,naive_last,expansion,217,217,0,1.0,0.44225390532740644,0.44225390532740644,1.0,0.2384741794882058,0.2384741794882058,1.0,1.0,0.8894009216589862,0.9262672811059908,1.2505322510897217,1.605040767868449,0.5154529370528151,0.06261449002252333,0.05555205831073606,0.060284915998312795
