target,horizon,model,score_first,rmse_rel_first,crps_rel_first,rank_first,failure_count_first,success_share_first,score_revised,rmse_rel_revised,crps_rel_revised,rank_revised,failure_count_revised,success_share_revised,score_revision_shift,rank_shift,first_winner,revised_winner,winner_flipped
CPIAUCSL,1,arima,0.9132859629374127,0.9038455273768866,0.9274466162782019,1.0,0,1.0,0.9113695853800459,0.9023827697287123,0.9248498088570462,1.0,0,1.0,-0.001916377557366844,0.0,arima,arima,False
CPIAUCSL,1,autoreg,0.9293468564227934,0.9174187855788473,0.9472389626887127,2.0,0,1.0,0.9411704108885801,0.9312021166213068,0.95612285228949,2.0,0,1.0,0.011823554465786756,0.0,arima,arima,False
CPIAUCSL,1,bvar_niw,0.9613281800650881,0.9547675146717957,0.9711691781550269,3.0,0,1.0,0.9610508927733665,0.9545877375859092,0.9707456255545527,3.0,0,1.0,-0.00027728729172160627,0.0,arima,arima,False
CPIAUCSL,1,var,0.9649092195381608,0.9557231362338551,0.9786883444946193,4.0,0,1.0,0.967205055489654,0.9577131742408602,0.9814428773628447,4.0,0,1.0,0.002295835951493186,0.0,arima,arima,False
CPIAUCSL,1,naive_last,1.0,1.0,1.0,5.0,0,1.0,1.0,1.0,1.0,5.0,0,1.0,0.0,0.0,arima,arima,False
CPIAUCSL,1,naive_drift,1.0019565708525322,1.0019023637292628,1.0020378815374362,6.0,0,1.0,1.0020994924772668,1.0019553049517407,1.002315773765556,6.0,0,1.0,0.00014292162473461545,0.0,arima,arima,False
CPIAUCSL,1,dynamic_factor,1.003458314392933,1.0016764355952825,1.0061311325894087,7.0,0,1.0,1.0034504728061608,1.0017165902752476,1.0060512966025308,7.0,0,1.0,-7.841586772139308e-06,0.0,arima,arima,False
CPIAUCSL,1,state_space,1.0226147921368436,1.0170076187806174,1.0310255521711824,8.0,0,1.0,1.0270954868985016,1.0211440983087536,1.0360225697831231,8.0,0,1.0,0.004480694761658022,0.0,arima,arima,False
CPIAUCSL,1,ridge,1.3498011404048424,1.33848920491318,1.366769043642336,9.0,0,1.0,1.374801736700531,1.3657111291087958,1.388437648088134,9.0,0,1.0,0.025000596295688515,0.0,arima,arima,False
CPIAUCSL,1,elastic_net,1.412067327674908,1.3970166731466616,1.4346433094672781,10.0,0,1.0,1.4371528159700895,1.4240838262166375,1.4567563006002673,10.0,0,1.0,0.025085488295181424,0.0,arima,arima,False
CPIAUCSL,1,random_forest,1.8523495593446426,1.8247354597886742,1.8937707086785953,11.0,0,1.0,1.8724893075893605,1.8430333876856142,1.9166731874449798,11.0,0,1.0,0.02013974824471787,0.0,arima,arima,False
CPIAUCSL,1,hist_gradient_boosting,1.898186416711911,1.8571185765409812,1.9597881769683057,12.0,0,1.0,1.9130528280250765,1.8707916405220806,1.9764446092795702,12.0,0,1.0,0.014866411313165573,0.0,arima,arima,False
CPIAUCSL,1,mean,4.069939057304543,4.052533690468246,4.096047107558991,13.0,0,1.0,4.136525585663826,4.112147329755073,4.173092969526955,13.0,0,1.0,0.06658652835928258,0.0,arima,arima,False
CPIAUCSL,1,seasonal_naive,4.97047922867484,4.886059777380066,5.0971084056170035,14.0,0,1.0,5.036890448479284,4.943007711493243,5.177714553958345,14.0,0,1.0,0.06641121980444353,0.0,arima,arima,False
CPIAUCSL,3,dynamic_factor,0.9886613772454456,0.9873707396739592,0.9905973336026752,1.0,0,1.0,0.9887485170582284,0.9874800561810911,0.9906512083739345,1.0,0,1.0,8.713981278285488e-05,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,arima,0.9995419836058002,0.991679910240093,1.0113350936543606,2.0,0,1.0,1.0002748011471971,0.992091545611616,1.0125496844505686,3.0,0,1.0,0.0007328175413969795,1.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,naive_last,1.0,1.0,1.0,3.0,0,1.0,1.0,1.0,1.0,2.0,0,1.0,0.0,-1.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,naive_drift,1.005872459696489,1.0057861473602683,1.0060019282008204,4.0,0,1.0,1.00600665449346,1.0058351753657528,1.006263873185021,4.0,0,1.0,0.0001341947969710766,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,bvar_niw,1.0299969442971357,1.0222041179318186,1.0416861838451112,5.0,0,1.0,1.031598547178234,1.0233422407778947,1.0439830067787428,5.0,0,1.0,0.0016016028810983407,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,state_space,1.0462152712940789,1.0429004188676456,1.051187549933729,6.0,0,1.0,1.0483746257273587,1.045132726453923,1.0532374746375128,6.0,0,1.0,0.0021593544332798587,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,autoreg,1.0859174856443443,1.0712594072598833,1.1079046032210358,7.0,0,1.0,1.0934567979950685,1.078547671514952,1.1158204877152431,7.0,0,1.0,0.007539312350724137,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,ridge,1.1256046835393279,1.114848062153202,1.141739615618517,8.0,0,1.0,1.1441690325139517,1.132804072545301,1.1612164724669283,8.0,0,1.0,0.01856434897462389,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,elastic_net,1.137995845044565,1.1277952150658925,1.1532967900125737,9.0,0,1.0,1.1547474957662578,1.1443695706026522,1.1703143835116663,9.0,0,1.0,0.016751650721692712,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,var,1.3365407888342258,1.4399045644198214,1.1814951254558324,10.0,0,1.0,1.3416448105651941,1.4455439117942406,1.1857961587216246,10.0,0,1.0,0.0051040217309683555,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,hist_gradient_boosting,1.375592087770734,1.3282875410562442,1.446548907842468,11.0,0,1.0,1.3744554532604865,1.3263960552315228,1.446544550303932,11.0,0,1.0,-0.0011366345102474806,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,random_forest,1.4031571476543963,1.3690301176737496,1.4543476926253662,12.0,0,1.0,1.4098138667855893,1.373836554374595,1.4637798354020808,12.0,0,1.0,0.006656719131193034,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,mean,1.8486569940574349,1.8342224939677407,1.8703087441919761,13.0,0,1.0,1.8574600065296456,1.8398442842639955,1.8838835899281208,13.0,0,1.0,0.008803012472210714,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,3,seasonal_naive,2.2462764228471648,2.200449791567772,2.315016369766254,14.0,0,1.0,2.2499721159933204,2.2003198434619478,2.3244505247903793,14.0,0,1.0,0.0036956931461555875,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,dynamic_factor,0.9795146426277288,0.9831321260293536,0.9740884175252916,1.0,0,1.0,0.9797926466080813,0.983461105462392,0.9742899583266152,1.0,0,1.0,0.0002780039803524925,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,naive_last,1.0,1.0,1.0,2.0,0,1.0,1.0,1.0,1.0,2.0,0,1.0,0.0,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,naive_drift,1.0113519350017568,1.0112938754203313,1.0114390243738947,3.0,0,1.0,1.0115051617936621,1.0113508677476413,1.0117366028626935,3.0,0,1.0,0.0001532267919053254,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,arima,1.0163059199128746,1.0173064572082664,1.014805113969787,4.0,0,1.0,1.0175072157715261,1.0182146070147857,1.0164461289066369,4.0,0,1.0,0.0012012958586515854,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,bvar_niw,1.0256487874067122,1.027637828305079,1.0226652260591618,5.0,0,1.0,1.0257215847456749,1.0272509099642815,1.0234275969177649,5.0,0,1.0,7.279733896270457e-05,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,state_space,1.1009397611227145,1.1035683243239651,1.0969969163208388,6.0,0,1.0,1.1033609374460727,1.1058664553095419,1.0996026606508684,6.0,0,1.0,0.002421176323358143,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,autoreg,1.102990056662731,1.1002567223059103,1.1070900581979621,7.0,0,1.0,1.1047422227142545,1.102014879673829,1.1088332372748926,7.0,0,1.0,0.001752166051523396,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,hist_gradient_boosting,1.1351261797120382,1.120419294622998,1.157186507345599,8.0,0,1.0,1.1344294204586054,1.1194541541839704,1.156892319870558,8.0,0,1.0,-0.0006967592534328215,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,elastic_net,1.1653063618267656,1.1556424451687153,1.1798022368138412,9.0,0,1.0,1.1728253228919083,1.162702242230917,1.1880099438833958,9.0,0,1.0,0.007518961065142715,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,ridge,1.1749451381237277,1.158987262923908,1.1988819509234572,10.0,0,1.0,1.1832938895168978,1.1668385677226059,1.207976872208336,10.0,0,1.0,0.00834875139317015,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,mean,1.236866632071216,1.2422277798579169,1.2288249103911648,11.0,0,1.0,1.2398753587716191,1.2438075154804669,1.233977123708348,11.0,0,1.0,0.003008726700403086,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,random_forest,1.2585550453284573,1.2500025257374594,1.2713838247149538,12.0,0,1.0,1.2621373247201837,1.2528033788638446,1.2761382435046922,12.0,0,1.0,0.003582279391726395,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,seasonal_naive,1.4942775928449645,1.4817779023163222,1.513027128637928,13.0,0,1.0,1.4931588290903832,1.479017612196005,1.5143706544319502,13.0,0,1.0,-0.001118763754581309,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,6,var,3.9058905307932217,5.304862133828461,1.807433126240363,14.0,0,1.0,3.9193244481707983,5.3218088195340405,1.8155978911259347,14.0,0,1.0,0.013433917377576599,0.0,dynamic_factor,dynamic_factor,False
CPIAUCSL,12,mean,0.8402677861355731,0.8487237550184134,0.8275838328113128,1.0,0,1.0,0.8432831309645632,0.8516715734978089,0.8307004671646948,1.0,0,1.0,0.0030153448289901297,0.0,mean,mean,False
CPIAUCSL,12,bvar_niw,0.8982267500485688,0.914248577639774,0.8741940086617612,2.0,0,1.0,0.8989874618513501,0.915151010823436,0.8747421383932213,2.0,0,1.0,0.0007607118027813664,0.0,mean,mean,False
CPIAUCSL,12,hist_gradient_boosting,0.9008018936033617,0.9110536470812106,0.8854242633865882,3.0,0,1.0,0.9037792844172504,0.9142126942615165,0.8881291696508513,3.0,0,1.0,0.002977390813888703,0.0,mean,mean,False
CPIAUCSL,12,arima,0.9257857505338725,0.943854207880118,0.8986830645145042,4.0,0,1.0,0.925361964508054,0.943368326698371,0.8983524212225785,4.0,0,1.0,-0.00042378602581849556,0.0,mean,mean,False
CPIAUCSL,12,dynamic_factor,0.9370483378749082,0.9429204328515096,0.9282401954100061,5.0,0,1.0,0.9371845096124144,0.9432394491885634,0.9281021002481908,5.0,0,1.0,0.000136171737506241,0.0,mean,mean,False
CPIAUCSL,12,random_forest,0.9719957280968777,0.9716946453775939,0.9724473521758036,6.0,0,1.0,0.9736708886715885,0.9741082836316538,0.9730147962314906,6.0,0,1.0,0.0016751605747107323,0.0,mean,mean,False
CPIAUCSL,12,autoreg,0.9800249253938994,0.9923370065290882,0.9615568036911162,7.0,0,1.0,0.9813272068544358,0.9937272224676807,0.9627271834345682,7.0,0,1.0,0.0013022814605363475,0.0,mean,mean,False
CPIAUCSL,12,naive_last,1.0,1.0,1.0,8.0,0,1.0,1.0,1.0,1.0,8.0,0,1.0,0.0,0.0,mean,mean,False
CPIAUCSL,12,seasonal_naive,1.0019075798889192,1.0,1.0047689497222982,9.0,0,1.0,1.0019465425518082,1.0,1.0048663563795202,9.0,0,1.0,3.896266288894168e-05,0.0,mean,mean,False
CPIAUCSL,12,naive_drift,1.023671054808263,1.022439984274743,1.025517660608543,10.0,0,1.0,1.0237896048095214,1.0225095537416726,1.0257096814112943,10.0,0,1.0,0.00011855000125837734,0.0,mean,mean,False
CPIAUCSL,12,elastic_net,1.041568438247922,1.0410410025400803,1.0423595918096846,11.0,0,1.0,1.046773568643208,1.0469306500787847,1.0465379464898428,11.0,0,1.0,0.005205130395286028,0.0,mean,mean,False
CPIAUCSL,12,ridge,1.1002365703979924,1.0968332131340512,1.1053416062939043,12.0,0,1.0,1.1050816907457481,1.1026504610246681,1.1087285353273681,12.0,0,1.0,0.004845120347755749,0.0,mean,mean,False
CPIAUCSL,12,state_space,1.2135217117362878,1.2224378291883238,1.2001475355582338,13.0,0,1.0,1.211293018376554,1.2200232147444916,1.1981977238246477,13.0,0,1.0,-0.0022286933597337466,0.0,mean,mean,False
CPIAUCSL,12,var,109.14129739044355,162.1251165200702,29.665568696003586,14.0,0,1.0,109.67885017561267,162.95177803797753,29.769458382065366,14.0,0,1.0,0.5375527851691118,0.0,mean,mean,False
