truth_mode,target,horizon,model,regime,n,rmse,mae,crps,coverage80,coverage90,width80,width90,pit_mean,pit_var,pit_ks_p,runtime_s
first_release,CPIAUCSL,1,arima,all,237,0.4326425777051088,0.3200490239399434,0.23443217011217474,0.8565400843881856,0.9113924050632911,1.1528397614848547,1.4796538149180236,0.5200269388390767,0.06861977554562179,0.04924238934229086,262.18349579600033
first_release,CPIAUCSL,1,arima,expansion,217,0.4083955077106182,0.3077776984958554,0.22398260070125312,0.8755760368663594,0.9216589861751152,1.146132820818484,1.4710455497670698,0.5312380271450731,0.06574568000523474,0.02086374265785139,242.63657879700042
first_release,CPIAUCSL,1,arima,high_volatility,102,0.5621166843237637,0.42682063823255995,0.31206791855361266,0.7450980392156863,0.8333333333333334,1.186816952284652,1.523263067189444,0.5354844025113591,0.0932517052824241,0.3212167387145317,102.37010760399951
first_release,CPIAUCSL,1,arima,normal_volatility,135,0.29977890861942985,0.2393771375855221,0.1757740490675327,0.9407407407407408,0.9703703703703703,1.1271681062138967,1.4467046020907282,0.5083479662866858,0.05024671512368522,0.00753905661993875,159.81338819200084
first_release,CPIAUCSL,1,arima,recession,20,0.6390934956801989,0.4531929050082991,0.3478099982206738,0.65,0.8,1.2256100677149764,1.5730534918058747,0.3983866307190179,0.08789465535405935,0.3148448566297831,19.546916998999933
first_release,CPIAUCSL,1,autoreg,all,237,0.43913967177537083,0.3288952526991414,0.23943511328883743,0.8143459915611815,0.8945147679324894,1.1141522223895206,1.429998896060549,0.5219744333588989,0.07492067429802471,0.12666628165281113,2.5257850190023445
first_release,CPIAUCSL,1,autoreg,expansion,217,0.41132333024534895,0.31473351493813545,0.2275405531943525,0.8294930875576036,0.9124423963133641,1.112755678277868,1.428206451098513,0.5366682571657967,0.07123391241989314,0.02871876202900514,2.348678817002483
first_release,CPIAUCSL,1,autoreg,high_volatility,102,0.5669611477806206,0.4402843206810033,0.31877339917495345,0.6764705882352942,0.7941176470588235,1.1103052553967447,1.4250613673797263,0.5484184060759265,0.10388187396296215,0.10055755634724121,1.0071833370007064
first_release,CPIAUCSL,1,autoreg,normal_volatility,135,0.30931897918129103,0.24473462355729003,0.17949063061932752,0.9185185185185185,0.9703703703703703,1.1170588196729514,1.4337294732860595,0.5019945428615893,0.05271635420973317,0.025811799373559013,1.5186016820016381
first_release,CPIAUCSL,1,autoreg,recession,20,0.670462227481883,0.48255010740605575,0.368491090313999,0.65,0.7,1.1293047260009532,1.4494469238986398,0.3625464450540578,0.09155559195460798,0.15823873478291484,0.17710620199986166
first_release,CPIAUCSL,1,bvar_niw,all,237,0.4570173399601968,0.33170983050913316,0.24548399226963816,0.8565400843881856,0.9240506329113924,1.2306531648092958,1.5795262368515526,0.5119509562022658,0.06630438599421892,0.060708819475991826,18.673089449000038
first_release,CPIAUCSL,1,bvar_niw,expansion,217,0.42719555566933737,0.3174574982068639,0.23308458244487826,0.880184331797235,0.9308755760368663,1.2263573516778186,1.5740126203885165,0.5243164240844166,0.06284561642010902,0.018668281290307627,17.106100075000207
first_release,CPIAUCSL,1,bvar_niw,high_volatility,102,0.6051223704720774,0.45310543029394285,0.33277372872538646,0.7450980392156863,0.8431372549019608,1.2572703749805163,1.6136890562546533,0.5329895760314948,0.0934828898757143,0.4698015491496583,8.052979480999749
first_release,CPIAUCSL,1,bvar_niw,normal_volatility,135,0.30001623076700595,0.2399887106717215,0.1795317469475172,0.9407407407407408,0.9851851851851852,1.2105423837910405,1.553714328858099,0.49605511010907055,0.04572241864254102,0.0009435869698366338,10.620109968000289
first_release,CPIAUCSL,1,bvar_niw,recession,20,0.7035384827679694,0.4863476359887547,0.38001758886828263,0.6,0.85,1.2772627372858278,1.639348975475497,0.3777856296809307,0.08842078475582259,0.06796122157523321,1.5669893739998308
first_release,CPIAUCSL,1,dynamic_factor,all,237,0.47947117288959284,0.33951432024942696,0.25432138161966467,0.8734177215189873,0.9071729957805907,1.2843025902533878,1.6483845289391417,0.5111909405354367,0.06373011854448302,0.020754069447644304,1544.844016895
first_release,CPIAUCSL,1,dynamic_factor,expansion,217,0.44414280643508963,0.3214613886244579,0.24040723919362147,0.8847926267281107,0.9170506912442397,1.279816362599086,1.64262651808191,0.5250945314455894,0.060451683243690955,0.006335319092919747,1439.8660847689998
first_release,CPIAUCSL,1,dynamic_factor,high_volatility,102,0.6326157145857085,0.45586385445606853,0.3415024791313404,0.7549019607843137,0.8235294117647058,1.3161380184331168,1.6892448586479412,0.5274595626369094,0.0879251267443077,0.6734342446283728,608.8144228520001
first_release,CPIAUCSL,1,dynamic_factor,normal_volatility,135,0.31814133844884046,0.25160578329329764,0.18845121905528744,0.9629629629629629,0.9703703703703703,1.2602491556287032,1.617512279825826,0.4988990927254349,0.045615499605491217,0.0013860538679735868,936.029594043
first_release,CPIAUCSL,1,dynamic_factor,recession,20,0.7641502758151941,0.5353886283803417,0.405289826942233,0.75,0.8,1.3329781603025617,1.7108589467401063,0.3603369791602791,0.07819251617297225,0.009562594782778877,104.97793212600013
first_release,CPIAUCSL,1,elastic_net,all,237,0.6687081766297881,0.5009912559649701,0.3626370924991762,0.8143459915611815,0.8945147679324894,1.6195233211472682,2.078635679079798,0.47862827621794685,0.07956725973142947,0.4010605933676241,7.7370970599993605
first_release,CPIAUCSL,1,elastic_net,expansion,217,0.6105400191517237,0.47367939338026144,0.3404941397753304,0.8202764976958525,0.9078341013824884,1.6310910506690757,2.093482699185035,0.4955328522695113,0.07659238602337481,0.6917967956429709,7.259453063999349
first_release,CPIAUCSL,1,elastic_net,high_volatility,102,0.8628697297099068,0.6755584510239336,0.4798745593966485,0.696078431372549,0.7941176470588235,1.5440401787868234,1.9817541147140982,0.5179226953779174,0.11411777146167544,0.021406309161751694,3.1619646909987815
first_release,CPIAUCSL,1,elastic_net,normal_volatility,135,0.47168675148151507,0.36909604192041995,0.27405767306553047,0.9037037037037037,0.9703703703703703,1.6765550287084936,2.1518350832672155,0.4489391595193023,0.05205589735615878,0.00041024489837214597,4.575132369000579
first_release,CPIAUCSL,1,elastic_net,recession,20,1.1200604959014078,0.7973249650090588,0.602888129552903,0.75,0.75,1.494013455835658,1.9175455109379773,0.29521362605847107,0.07889938419232098,0.0006712597594179526,0.47764399600001095
first_release,CPIAUCSL,1,hist_gradient_boosting,all,237,0.8889445637802014,0.6501039724334646,0.49537880372086807,0.6582278481012658,0.7679324894514767,1.4656982187679077,1.8812032976076163,0.4725143482293793,0.10699082025052126,0.03350026636197512,74.66784815199925
first_release,CPIAUCSL,1,hist_gradient_boosting,expansion,217,0.8619426554845797,0.6230484558596087,0.4750813794801794,0.6866359447004609,0.7926267281105991,1.4727490470621958,1.8902529377506128,0.4849166536432027,0.1021298722869083,0.02130141112915434,69.99059356999935
first_release,CPIAUCSL,1,hist_gradient_boosting,high_volatility,102,1.1072655088624412,0.856024543748514,0.6670300742505092,0.5098039215686274,0.6078431372549019,1.418782173045246,1.8209872048307738,0.5706102549141201,0.13629594504666573,4.334608388250042e-05,28.303441373999604
first_release,CPIAUCSL,1,hist_gradient_boosting,normal_volatility,135,0.6789259118231089,0.4945195407732049,0.365686732654028,0.7703703703703704,0.8888888888888888,1.5011458977583632,1.9266999010390085,0.398397440956464,0.07284193412211401,0.0001316099028331212,46.36440677799965
first_release,CPIAUCSL,1,hist_gradient_boosting,recession,20,1.1415695775952457,0.9436563272598022,0.7156058567323391,0.35,0.5,1.3891967317748777,1.7830147020561042,0.3379493344893959,0.1470656830908216,0.0026986273899027857,4.677254581999903
