truth_mode,target,horizon,model,baseline,dm_stat,p_value,n,mean_loss_diff,p_holm,significant_5pct_holm
first_release,CPIAUCSL,1,arima,naive_last,-2.2092963326293527,0.028115133450450712,237,-0.041944139266518916,0.19680593415315498,False
first_release,CPIAUCSL,1,autoreg,naive_last,-1.567706493383996,0.11828946348413123,237,-0.036280087982859574,0.5921629568969125,False
first_release,CPIAUCSL,1,bvar_niw,naive_last,-1.6577634795420928,0.09869382614948541,237,-0.020258890285545977,0.5921629568969125,False
first_release,CPIAUCSL,1,dynamic_factor,naive_last,0.1886709118197991,0.850512893566713,237,0.0007688663222818646,1.0,False
first_release,CPIAUCSL,1,elastic_net,naive_last,4.582148707861013,7.458881059778308e-06,237,0.21804688618169585,6.712992953800477e-05,True
first_release,CPIAUCSL,1,hist_gradient_boosting,naive_last,7.836275163097565,1.5811683732417482e-13,237,0.5610986981645326,1.897402047890098e-12,True
first_release,CPIAUCSL,1,mean,naive_last,7.118022250545659,1.3074161035612067e-11,237,3.5337821475378157,1.3074161035612066e-10,True
first_release,CPIAUCSL,1,naive_drift,naive_last,0.9373443782328134,0.3495396866347849,237,0.0008725825783599411,1.0,False
first_release,CPIAUCSL,1,random_forest,naive_last,7.684805452457912,4.094328852367763e-13,237,0.5337802955486028,4.503761737604539e-12,True
first_release,CPIAUCSL,1,ridge,naive_last,3.997343005345387,8.568553038446191e-05,237,0.18136366379766503,0.0006854842430756953,True
first_release,CPIAUCSL,1,seasonal_naive,naive_last,8.682103543536027,6.501225033178927e-16,237,5.240880214943178,8.451592543132605e-15,True
first_release,CPIAUCSL,1,state_space,naive_last,1.0007550070393973,0.31797025183700883,237,0.007859974549381952,1.0,False
first_release,CPIAUCSL,1,var,naive_last,-0.8800280376492228,0.37973936158492105,237,-0.019840577686170972,1.0,False
first_release,CPIAUCSL,3,arima,naive_last,-0.16988323642522712,0.8652475014209445,237,-0.018702405121825447,1.0,False
first_release,CPIAUCSL,3,autoreg,naive_last,1.0181850439590636,0.30963267738011524,237,0.16658143744242893,1.0,False
first_release,CPIAUCSL,3,bvar_niw,naive_last,0.41923817616701997,0.6754234163959452,237,0.050676711104886724,1.0,False
first_release,CPIAUCSL,3,dynamic_factor,naive_last,-0.6879808942542325,0.49214045384770083,237,-0.02832739983999558,1.0,False
first_release,CPIAUCSL,3,elastic_net,naive_last,1.1899659141567795,0.23525549104063465,237,0.3068981899183053,1.0,False
first_release,CPIAUCSL,3,hist_gradient_boosting,naive_last,2.8601007714425446,0.004614547617392879,237,0.8626625028320977,0.04614547617392879,True
first_release,CPIAUCSL,3,mean,naive_last,3.03745067072667,0.002654045212877771,237,2.6684909997656647,0.031848542554533246,True
first_release,CPIAUCSL,3,naive_drift,naive_last,1.3571335720135864,0.17603528479757652,237,0.013098574164640204,1.0,False
first_release,CPIAUCSL,3,random_forest,naive_last,2.973289174764315,0.003251678474960234,237,0.9866935734297896,0.03576846322456257,True
first_release,CPIAUCSL,3,ridge,naive_last,1.0480874711157429,0.2956704797495546,237,0.2741275907627551,1.0,False
first_release,CPIAUCSL,3,seasonal_naive,naive_last,4.478646010216017,1.1704829822964763e-05,237,4.336156265367061,0.00015216278769854193,True
first_release,CPIAUCSL,3,state_space,naive_last,1.4277859472201524,0.15467539422637616,237,0.09891419841123278,1.0,False
first_release,CPIAUCSL,3,var,naive_last,1.0888307305227425,0.2773391604579259,237,1.2113822716252038,1.0,False
first_release,CPIAUCSL,6,arima,naive_last,0.20243197984219385,0.8397534319916474,237,0.08695649216421078,1.0,False
first_release,CPIAUCSL,6,autoreg,naive_last,0.9129562617169712,0.3621972440156645,237,0.5244545359676702,1.0,False
first_release,CPIAUCSL,6,bvar_niw,naive_last,0.2896881334550349,0.7723091822487714,237,0.13957777143655056,1.0,False
first_release,CPIAUCSL,6,dynamic_factor,naive_last,-0.3953766705873428,0.6929220736256054,237,-0.083317064077903,1.0,False
first_release,CPIAUCSL,6,elastic_net,naive_last,1.3579183650546622,0.17578644213408223,237,0.8356544530586025,1.0,False
first_release,CPIAUCSL,6,hist_gradient_boosting,naive_last,0.7332964331653692,0.46410542739284893,237,0.6359746232700881,1.0,False
first_release,CPIAUCSL,6,mean,naive_last,1.1465618196548442,0.2527239103362948,237,1.352775215871939,1.0,False
first_release,CPIAUCSL,6,naive_drift,naive_last,1.5591697922641838,0.12029616583458883,237,0.05657707414466189,1.0,False
first_release,CPIAUCSL,6,random_forest,naive_last,1.3781566116909727,0.1694601350964479,237,1.4010362180348965,1.0,False
first_release,CPIAUCSL,6,ridge,naive_last,1.4423069678301208,0.15054158526996034,237,0.8549375126446725,1.0,False
first_release,CPIAUCSL,6,seasonal_naive,naive_last,2.7958763239924016,0.005602137841575917,237,2.97804838841944,0.07282779194048691,False
first_release,CPIAUCSL,6,state_space,naive_last,1.752092294579785,0.08105672557371188,237,0.5426321640535755,0.9726807068845426,False
first_release,CPIAUCSL,6,var,naive_last,0.9972833248346277,0.31964843393261216,237,67.60157311788576,1.0,False
first_release,CPIAUCSL,12,arima,naive_last,-0.5700189456517937,0.5692140582159991,234,-0.5976266780834314,1.0,False
first_release,CPIAUCSL,12,autoreg,naive_last,-0.05602938953392475,0.9553664103366182,234,-0.08360078031754425,1.0,False
first_release,CPIAUCSL,12,bvar_niw,naive_last,-0.8127458581803515,0.4171934360511159,234,-0.8988531386742004,1.0,False
first_release,CPIAUCSL,12,dynamic_factor,naive_last,-1.2346849075281232,0.21819149686789488,234,-0.6072741019480383,1.0,False
first_release,CPIAUCSL,12,elastic_net,naive_last,0.33670937466686995,0.7366390674182155,234,0.4586894635890406,1.0,False
first_release,CPIAUCSL,12,hist_gradient_boosting,naive_last,-0.5717665996031911,0.5680312806124753,234,-0.9307865474334387,1.0,False
first_release,CPIAUCSL,12,mean,naive_last,-1.1459591032600271,0.252987646099176,234,-1.5314112432481797,1.0,False
first_release,CPIAUCSL,12,naive_drift,naive_last,2.229181750952522,0.026756098468386978,234,0.2485119429535033,0.32107318162064374,False
